ID,Ticker,Name,Exchange,Importance,Category
1,^NSEDIV,NIFTY50 DIV POINT,NSE,normal,Others
2,FOCIT.BO,BSE FOCUSED IT,BSE,normal,Sectoral
3,BSE-IT.BO,S&P BSE Information Technology,BSE,normal,Others
4,^CNXIT,NIFTY IT,NSE,important,Sectoral
5,BSE-TECK.BO,S&P BSE TECK INDEX,BSE,normal,Sectoral
6,NIFTY_MS_FIN_SERV.NS,NIFTY MS FIN SERV,NSE,normal,Sectoral
7,NIFTY_CAPITAL_MKT.NS,NIFTY CAPITAL MKT,NSE,normal,Sectoral
8,NIFTY50_SHARIAH.NS,NIFTY50 SHARIAH,NSE,normal,Others
9,^CNXPSUBANK,NIFTY PSU BANK,NSE,important,Sectoral
10,BSE-BANK.BO,S&P BSE BANKEX,BSE,normal,Sectoral
11,PSUBNK.BO,BSE PSU BANK,BSE,normal,Sectoral
12,NIFTY_MS_IT_TELCM.NS,NIFTY MS IT TELCM,NSE,normal,Sectoral
13,FOCMID.BO,BSE FOCUSED MIDCAP,BSE,normal,Others
14,NIFTY_IND_DIGITAL.NS,NIFTY IND DIGITAL,NSE,normal,Sectoral
15,MIDSEL.BO,S&P BSE MIDCAP SELECT INDEX,BSE,normal,Others
16,^CNXDIVOP,NIFTY DIV OPPS 50,NSE,normal,Others
17,BSEPBI.BO,S&P BSE Private Banks Index,BSE,normal,Sectoral
18,^NSEBANK,NIFTY BANK,NSE,important,Sectoral
19,CAPINS.BO,BSE CAPITAL MARKETS & INSURANCE,BSE,normal,Sectoral
20,NIFTY500_FLEXICAP.NS,NIFTY500 FLEXICAP,NSE,normal,Others
21,BSEEVI.BO,S&P BSE Enhanced Value Index,BSE,normal,Others
22,BSEDSI.BO,S&P BSE Dividend Stability Inde,BSE,normal,Sectoral
23,NIFTY200_VALUE_30.NS,NIFTY200 VALUE 30,NSE,normal,Others
24,DFRGRI.BO,S&P BSE Diversified Financials,BSE,normal,Sectoral
25,SNXT50.BO,S&P BSE SENSEX Next 50 Index,BSE,normal,Others
26,NIFTYM150MOMNTM50.NS,NIFTYM150MOMNTM50,NSE,normal,Others
27,NI15.NS,NIFTY GROWSECT 15,NSE,normal,Others
28,^NSEMDCP50,NIFTY MIDCAP 50,NSE,important,Broad Market
29,NV20.NS,Kotak Nifty 50 Value 20 ETF,NSE,normal,Others
30,^CNXSERVICE,NIFTY SERV SECTOR,NSE,normal,Others
31,^INDIAVIX,INDIA VIX,N/A,normal,Others
32,NIFTY_PVT_BANK.NS,NIFTY PVT BANK,NSE,normal,Sectoral
33,NIFTY_SHARIAH_25.NS,NIFTY SHARIAH 25,NSE,normal,Others
34,BSE-OILGAS.BO,S&P BSE OIL&GAS INDEX,BSE,normal,Others
35,FINSER.BO,S&P BSE Financial Services,BSE,normal,Sectoral
36,NIFTY_SME_EMERGE.NS,NIFTY SME EMERGE,NSE,normal,Others
37,NIFTY500_SHARIAH.NS,NIFTY500 SHARIAH,NSE,normal,Others
38,^CNXREALTY,NIFTY REALTY,NSE,normal,Sectoral
39,BSEQUI.BO,S&P BSE Quality Index,BSE,normal,Sectoral
40,BSE-REALTY.BO,S&P BSE REALTY INDEX,BSE,normal,Sectoral
41,NIFTYTR2XLEV.NS,NIFTY50 TR 2X LEV,NSE,normal,Others
42,NIFTY_FINSEREXBNK.NS,NIFTY FINSEREXBNK,NSE,normal,Sectoral
43,NIFTY200MOMENTM30.NS,NIFTY200MOMENTM30,NSE,normal,Others
