ISIN,Name,Type,Sector,Cap
INF209K01UU3,Aditya Birla Sun Life Money Manager Fund,Debt,Debt/Liquid,Debt
INF209KB1Z71,Aditya Birla Sun Life Nifty 50 Equal Weight Index Fund,Equity,Index,Largecap
INF846K01DP8,Axis Bluechip Fund,Equity,General,Largecap
INF846K01ZM8,Axis Corporate Bond Fund,Debt,Debt/Liquid,Debt
INF846K01ZM8,Axis Corporate Debt Fund,Debt,General,Flexi
INF846K01EW2,Axis Elss Tax Saver Fund,Equity-ELSS,General,ELSS
INF846K01B28,Axis Flexi Cap Fund,Equity,General,Flexicap
INF846K01DD4,Axis Gilt Fund,Debt,Debt/Liquid,Debt
INF846K01X71,Axis Innovation Fund,Equity,Innovation,Flexicap
INF846K01EH3,Axis Mid Cap Fund,Equity,General,Midcap
INF846K013H3,Axis Nifty Smallcap 50 Index Fund,Equity,Index,Smallcap
INF846K01Z87,Axis Quant Fund,Equity,Quant,Flexicap
INF846K01K35,Axis Small Cap Fund,Equity,General,Smallcap
INF754K01KS3,Bharat Bond FOF - April 2023,Debt,Debt/Liquid,Debt
INF754K01KY1,Bharat Bond FOF - April 2030,Debt,Debt/Liquid,Debt
INF754K01BS2,Edelweiss Balanced Advantage Fund,Hybrid,General,Flexi
INF179KA1SC5,Hdfc Income Plus Arbitrage Active FOF,Equity-Arbitrage,Arbitrage,Arbitrage
INF109K018M4,Icici Prudential Infrastructure Fund,Equity,Infrastructure,Flexi
INF22M001093,Jioblackrock Flexi Cap Fund,Equity,General,Flexicap
INF247L01445,Motilal Oswal Midcap Fund,Equity,General,Midcap
INF204KA16G3,Nippon India - US Equity Opportunities Fund,Equity,International,US
INF204K01XZ7,Nippon India Arbitrage Fund,Equity-Arbitrage,Arbitrage,Arbitrage
INF204K01XO1,Nippon India Banking & Financial Services Fund,Equity,Financial,Flexi
INF204K01G52,Nippon India Consumption Fund,Equity,Consumption,Flexi
INF204K01YC4,Nippon India Gold Savings Fund,Commodity,Gold,Gold
INF204K01K80,Nippon India Index Fund - BSE Sensex Plan,Equity,Index,Largecap
INF204K01ZH0,Nippon India Liquid Fund,Debt,Debt/Liquid,Debt
INF204K01UN9,Nippon India Liquid Fund,Debt,Debt/Liquid,Debt
INF204KB15W0,Nippon India Nifty Smallcap 250 Index Fund,Equity,Index,Smallcap
INF204K01K15,Nippon India Small Cap Fund,Equity,General,Smallcap
INF204K01YH3,Nippon India Ultra Short Duration Fund,Debt,Debt/Liquid,Debt
INF879O01225,Parag Parikh Arbitrage Fund,Equity-Arbitrage,Arbitrage,Arbitrage
INF879O01100,Parag Parikh Elss Tax Saver Fund,Equity-ELSS,General,ELSS
INF879O01027,Parag Parikh Flexi Cap Fund,Equity,General,Flexicap
INF966L01986,Quant Elss Tax Saver Fund,Equity-ELSS,General,ELSS
INF966L01721,Quant Infrastructure Fund,Equity,Infrastructure,Flexi
INF966L01648,Quant Large And Mid Cap Fund,Equity,General,Multicap
INF966L01887,Quant Mid Cap Fund,Equity,General,Midcap
INF966L01614,Quant Multi Cap Fund,Equity,General,Multicap
INF966L01AZ7,Quant Overnight Fund,Debt,Debt/Liquid,Debt
INF966L01AK9,Quant Quantamental Fund,Equity,General,Flexi
INF966L01689,Quant Small Cap Fund,Equity,General,Smallcap
INF966L01AN3,Quant Value Fund,Equity,General,Value
INF200K01QU0,SBI Arbitrage Opportunities Fund,Equity-Arbitrage,Arbitrage,Arbitrage
INF200KA1507,SBI Banking & Financial Services Fund,Equity,Financial,Flexi
INF200K01RA0,SBI Contra Fund,Equity,General,Flexi
INF200K01UP2,SBI Healthcare Opportunities Fund,Equity,Healthcare,Flexi
INF200KA1U28,SBI International Access- US Equity FOF,Equity,International,US
INF200K01UJ5,SBI Large & Midcap Fund,Equity,General,Midcap
INF200K01UM9,SBI Long Term Equity Fund,Equity-ELSS,General,ELSS
INF200K01TZ3,SBI Multi Asset Allocation Fund,Equity,General,Multicap
INF200KA1W00,SBI Nifty Next 50 Index Fund,Equity,Index,Largecap
INF200K01UY4,SBI Psu Fund,Equity,PSU,Flexi
INF200K01SZ5,SBI Savings Fund,Debt,Debt/Liquid,Debt
INF200K01T51,SBI Small Cap Fund,Equity,General,Smallcap
INF200K01RV6,SBI Technology Opportunities Fund,Equity,Technology,Flexi
INF789F1AZA4,Uti Innovation Fund,Equity,Innovation,Flexi
